Abbagliato	i:29:132
Abel	i:4:56
Abraham	i:4:58
Absalom	i:28:137
Abydos	pu:28:74
Achan	pu:20:109
Acheron	i:3:78	i:14:116	pu:2:105
Achilles	i:5:65	i:12:71	i:26:62	i:31:4	pu:9:34	pu:21:92
Acone	pa:16:65
Acquacheta	i:16:97
Acquasparta	pa:12:124
Acre	i:27:89
Adam	i:3:115	pu:9:10	pu:11:44	pu:29:86	pu:32:37
Adige	i:12:5	pu:16:115	pa:9:44
Adriatic	pa:21:123
Aegina	i:29:59
Aegypto	pu:2:46
Aeneas	i:2:32	i:4:122	i:26:93
Aeneid	pu:21:97
Aeolus	pu:28:21
Aesop	i:23:4
Africanus	pu:29:116
Agapetus	pa:6:16
Agathon	pu:22:107
Aglauros	pu:14:139
Agnel	i:25:68
Agnus Dei	pu:16:19
Aguglione	pa:16:56
Ahasuerus	pu:17:28
Ahithophel	i:28:137
Alagia	pu:19:142
Alagna	pa:30:148
Alardo	i:28:18
Alberichi	pa:16:89
Alberigo	i:33:118
Albero	i:29:109
Albert	pu:6:97	pa:10:98	pa:19:115
Alberto	i:32:57
Alcmaeon	pu:12:50	pa:4:103
Alecto	i:9:47
Alessandria	pu:7:135
Alessandro	i:30:77
Alessio Interminei	i:18:122
Alexander	i:12:107	i:14:31
Ali	i:28:32
Alichino	i:21:118	i:22:112
Alp	i:20:62
Alps	pu:17:1
Altaforte	i:29:29
Amphiaraus	i:20:34
Amphion	i:32:11
Amyclas	pa:11:68
Anagni	pu:20:86
Ananias	pa:26:12
Anastagi	pu:14:107
Anaxagoras	i:4:137
Anchises	i:1:74	pu:18:137	pa:15:25	pa:19:132
Angiolello	i:28:77
Anna	pa:32:133
Anselm	pa:12:137
Anselmuccio	i:33:50
Antaeus	i:31:100	i:31:113	i:31:139
Antandros	pa:6:67
Antenora	i:32:88
Antenori	pu:5:75
Antigone	pu:22:110
Antiphon	pu:22:106
Apennine	i:16:96
Apennines	pu:5:96
Apollo	pa:1:13	pa:2:8
Apulia	pu:7:126
Apulian	i:28:16
Aquarius	i:24:2
Arachne	i:17:18	pu:12:43
Aragon	pu:3:116
Arbia	i:10:86
Arca	pa:16:92
Archbishop Ruggieri	i:33:14
Archiano	pu:5:95	pu:5:125
Ardinghi	pa:16:93
Arethusa	i:25:97
Aretine	i:30:31	pu:6:13
Aretines	i:22:5
Arezzo	i:29:109
Argia	pu:22:110
Argo	pa:33:96
Argolic	i:28:84
Argus	pu:29:95
Aristotle	pu:3:43
Arles	i:9:112
Arnaut	pu:26:142
Arno	i:13:146	i:15:113	i:23:95	i:30:65	i:33:83	pu:5:126	pu:14:24	pa:11:106
Arrigo	i:6:80
Arrigo Mainardi	pu:14:97
Arrigucci	pa:16:108
Arrio	pa:13:127
Arthur	i:32:62
Aruns	i:20:46
Ascesi	pa:11:53
Asdente	i:20:118
Asopus	pu:18:91
Asperges me	pu:31:98
Assyrians	pu:12:59
Athamas	i:30:4
Athens	i:12:17	pu:6:139	pa:17:46
Atropos	i:33:126
Attila	i:12:134	i:13:149
Augustine	pa:10:120	pa:12:130	pa:32:35
Augustus	i:1:71	i:13:68	pu:29:116
Aulis	i:20:111
Aurora	pu:2:8
Ausonia	pa:8:61
Austria	i:32:25
Averroës	i:4:144
Avicenna	i:4:143
Azzolino	i:12:110
Babylon	pa:23:135
Bacchiglione	i:15:113
Bacchus	i:20:59	pu:18:93	pa:13:25
Bagnacaval	pu:14:115
Bagnoregio	pa:12:128
Barbagia	pu:23:94	pu:23:96
Barbariccia	i:21:120	i:22:29	i:22:59	i:22:145
Barbarossa	pu:18:119
Bari	pa:8:62
Barucci	pa:16:104
Bears	pu:4:65	pa:2:9
Beatrice	i:2:70	i:2:103	pu:6:46	pu:7:128	pu:15:77	pu:18:48	pu:18:73	pu:23:128	pu:27:36	pu:27:53	pu:30:73	pu:31:80	pu:31:107	pu:31:114	pu:31:133	pu:32:36	pu:32:85	pu:32:106	pu:33:4	pu:33:124	pa:1:46	pa:1:64	pa:2:22	pa:3:127	pa:4:13	pa:4:139	pa:5:16	pa:5:85	pa:5:122	pa:7:16	pa:9:16	pa:10:37	pa:10:52	pa:10:60	pa:11:11	pa:14:8	pa:14:79	pa:15:70	pa:16:13	pa:17:5	pa:17:29	pa:18:17	pa:18:53	pa:21:63	pa:22:125	pa:23:19	pa:23:34	pa:23:76	pa:24:10	pa:24:22	pa:24:55	pa:25:28	pa:25:137	pa:26:77	pa:27:34	pa:27:102	pa:29:8	pa:30:14	pa:30:128	pa:31:59	pa:31:66	pa:31:76	pa:32:9	pa:33:38
Beccheria	i:32:119
